CALENDAR_ID,CALENDAR_YEAR,CALENDAR_MONTH,CALENDAR_YYYYMM
0,2010,10,2010-10
1,2010,11,2010-11
2,2010,12,2010-12
3,2011,1,2011-01
4,2011,2,2011-02
5,2011,3,2011-03
6,2011,4,2011-04
7,2011,5,2011-05
8,2011,6,2011-06
9,2011,7,2011-07
10,2011,8,2011-08
11,2011,9,2011-09
12,2011,10,2011-10
13,2011,11,2011-11
14,2011,12,2011-12
15,2012,1,2012-01
16,2012,2,2012-02
17,2012,3,2012-03
18,2012,4,2012-04
19,2012,5,2012-05
20,2012,6,2012-06
21,2012,7,2012-07
22,2012,8,2012-08
23,2012,9,2012-09
24,2012,10,2012-10
25,2012,11,2012-11
26,2012,12,2012-12
27,2013,1,2013-01
28,2013,2,2013-02
29,2013,3,2013-03
30,2013,4,2013-04
31,2013,5,2013-05
32,2013,6,2013-06
33,2013,7,2013-07
34,2013,8,2013-08
35,2013,9,2013-09
36,2013,10,2013-10
37,2013,11,2013-11
38,2013,12,2013-12
